

国内|央视 ,#genre#



CCTV1,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV2,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV3,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV4,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV5,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV6,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV7,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV8,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV9,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV10,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV11,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV12,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV13,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV14,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV15,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV16,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV17,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8
CGTN,  http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001058/index.m3u8
CETV1, http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
CETV2, http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001226/index.m3u8
CETV4, http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8






CCTV1, https://5r5tv.71781011.xyz/stream/channelid/1871130607?ticket=9e85ba76820243a09e323a2ccc3c997934ea8121&profile=pass
CCTV2, https://5r5tv.71781011.xyz/stream/channelid/35898470?ticket=914662df5d0e78d1af2b1d9246c203ce049ac4f0&profile=pass
CCTV3, https://5r5tv.71781011.xyz/stream/channelid/1984144331?ticket=e4091f35e8cb69e519abdf2615a577c21fa1393e&profile=pass
CCTV5, https://5r5tv.71781011.xyz/stream/channelid/1252677571?ticket=e3fe598d3753f6696d67c41583c9a84076febe78&profile=pass
CCTV6, https://5r5tv.71781011.xyz/stream/channelid/1713339123?ticket=ab21c8ec155f271fb630acb8ba529d7c39d13e33&profile=pass
CCTV7, https://5r5tv.71781011.xyz/stream/channelid/1660129872?ticket=b870cbf59ef30f2722ad8db958e1f14bc06f7c29&profile=pass
CCTV8, https://5r5tv.71781011.xyz/stream/channelid/434327774?ticket=02367e7aae6d0e03ef7ee31df3fd47a2694f9deb&profile=pass
