

News,#genre#
3AW Melbourne, https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8
6PR Perth, https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8



ABC News New York NY (WABC-TV), https://content.uplynk.com/channel/ext/72750b711f704e4a94b5cfe6dc99f5e1/wabc_24x7_news.m3u8
ABC Tallahassee  [N24/7], https://content.uplynk.com/channel/c66d1d2d9e2c46cea1cf22a33f6ca488.m3u8
ABC WWAY 3, https://townnews.g-mana.live/media/027a05c7-43b6-49eb-ad10-a0c0f10a0754/main.m3u8


Afghanistan International, https://hls.afintl.com/hls/stream.m3u8
Africanews English, https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/africanews/africanews-en.m3u8


Al Jazeera English, https://live-hls-apps-aje-fa.getaj.net/AJE/index.m3u8
Al Nujaba, http://63b03f7689049.streamlock.net:1935/live/3/playlist.m3u8
America's Voice, https://content.uplynk.com/channel/26bd482ffe364a1282bc3df28bd3c21f.m3u8

Arirang TV UN, https://amdlive-ch02-ctnd-com.akamaized.net/arirang_2ch/smil:arirang_2ch.smil/playlist.m3u8




BBC News (North America), https://d2vnbkvjbims7j.cloudfront.net/containerA/LTN/playlist.m3u8

BEK TV News, https://cdn3.wowza.com/5/ZWQ1K2NYTmpFbGsr/BEK-WOWZA-1/smil:BEKPRIMEeast.smil/playlist.m3u8
BeritaSatu English, https://beritasatu.secureswiftcontent.com/han/beritasatu/bsatu10008/srtoutput/manifest.m3u8

Black News Channel, https://blacknewschannel-vizio.amagi.tv/playlist.m3u8




CBS 32 Louisville KY (WLKY), https://livetv-fa.tubi.video/wlky/playlist.m3u8


CBS News Bay Area, https://cbsn-sf.cbsnstream.cbsnews.com/out/v1/dac63c1abb3f4a2dac9f508f44bb072a/master.m3u8
CBS News Boston, https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
CBS News Chicago, https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8
CBS News Colorado, https://cbsn-den.cbsnstream.cbsnews.com/out/v1/2e49baf2906244ecb01b07d9885fbe7a/master.m3u8
CBS News Detroit, https://cbsn-det.cbsnstream.cbsnews.com/out/v1/169f5c001bc74fa7a179b19c20fea069/master.m3u8
CBS News Los Angeles, https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8
CBS News Miami, https://cbsn-mia.cbsnstream.cbsnews.com/out/v1/ac174b7938264d24ae27e56f6584bca0/master.m3u8
CBS News Minnesota, https://cbsn-min.cbsnstream.cbsnews.com/out/v1/76518f06941246ba810c8d175600bf74/master.m3u8
