




港|澳|台





凤凰中文,  http://rihou.cc:555/tv/[SX]凤凰中文 # http://rihou.cc:555/tv/[PL]凤凰中文 # http://php.jdshipin.com/TVOD/iptv.php?id=fhzw # http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw # http://iptv.4666888.xyz/iptv2A.php?id=27 # https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd
凤凰资讯,  http://rihou.cc:555/tv/[PL]凤凰资讯 # http://rihou.cc:555/tv/[SX]凤凰资讯 # http://php.jdshipin.com/TVOD/iptv.php?id=fhzx # http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2 # https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd # http://218.104.239.114:9901/tsfile/live/1012_1.m3u8
凤凰香港,  http://rihou.cc:555/tv/[SX]凤凰香港 # http://rihou.cc:555/tv/[PL]凤凰香港 # http://rihou.cc:555/tv/[SX]凤凰香港 # http://rihou.cc:555/tv/[PL]凤凰香港 # http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk #  http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn #  http://php.jdshipin.com/TVOD/iptv.php?id=fhhk # http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk


凤凰电影,  https://stream1.freetv.fun/eb5c379a2d045382ce7f8ffa78e5b7d184a3c44fffe574d72e3fab54a7d696f7.ctv


香港卫视, http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 #  rtmp://zhibo.hkstv.tv/livestream/mutfysrq # http://zhibo.hkstv.tv/livestream/mutfysrq.flv # https://stream1.freetv.fun/7a042cff75f5f9691fe1825f6cc2038b01bfdd6c7b4a25b24a03f067816e51ca.m3u8 # https://stream1.freetv.fun/17bfdc9eb5ec56f6dc8839c56f3078234b490e441862758d5b76097fb7968ca9.m3u8 # https://stream1.freetv.fun/8fb5ad980db9bb85194eb24010e6c655da429a3426108c336d13dcd848e94e93.ctv # https://stream1.freetv.fun/e06e2245cd56eb5f8705bdbc4a622a8b6be2c249723c987bedf610bc0a7b35df.m3u8

東森超視, rtmp://f13h.mine.nu/sat/tv331
民视闽南频道, rtmp://f13h.mine.nu/sat/tv051
中视闽南频道, rtmp://f13h.mine.nu/sat/tv091 # 中视闽南频道, rtmp://f13h.mine.nu:1935/sat/tv091
华视闽南频道, rtmp://f13h.mine.nu/sat/tv111
台视闽南频道, rtmp://f13h.mine.nu/sat/tv071
momoTV, rtmp://f13h.mine.nu/sat/tv761


plus 6, https://stream1.freetv.fun/46487d2b6c154af59ea48b77690848c41662ed1e066024cbeaae1f6df7105526.ctv
plus 7, https://stream1.freetv.fun/6b50bcf9cb4d2741a3835367c9507f9aff68040a95c16eb3ab143ffd914fd493.ctv
plus 8, https://stream1.freetv.fun/a4ff58ef1c87be11dc5b78a17be6e841d60a4d92f61e0cdded3c566349c99702.ctv
snap, https://stream1.freetv.fun/1dad0882045d6c9065bc63bc343aeb79d12a7bc07104336818f2b841c1fae70b.m3u8
TVB Plus, https://stream1.freetv.fun/5c71ddc1ee039d8057898c807e9cda2dfc61c7534d017fbf7c0de04c5c58c890.ctv # http://php.jdshipin.com/TVOD/iptv.php?id=j2


中天新闻, http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts #  http://152.32.229.52:5050/4gtv-4gtv009/index.m3u8?proxy=true

TVBS新聞, http://152.32.229.52:5050/4gtv-4gtv072/index.m3u8?proxy=true
TVBS HD, http://152.32.229.52:5050/4gtv-4gtv073/index.m3u8?proxy=true
TVBS Asia, http://38.64.72.148/hls/modn/list/4005/playlist.m3u8 # http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8


RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8 # https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8 # http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8

Taiwan Plus, https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8 # https://stream1.freetv.fun/bba4975d014ac372935015f9de9a053bb27a89060c6787a6caca49591a8a7b2e.m3u8

亚洲卫视, https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.m3u8 # https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8 # https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.flv

莲花卫视, http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1

无线新闻, https://stream1.freetv.fun/b9fc79702a33d75d0fa4c22a19341be1a7120d111c47d9e109566b9d42020383.ctv # https://stream1.freetv.fun/ac251cfa2842fa2be9c70e0f852ca810ccfcaada7d0c4a67c41b1b9dd2621412.ctv


美亚C+, http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 # https://stream1.freetv.fun/99f3233e5bc35124a936ce032ec14fdf9c2ad50336346faaa4075affd912ca6e.m3u8 #  https://stream1.freetv.fun/32345d09e1f050cce33ecccc9c803cc97866cc36ddd83a8cca5395d0cd5ed20e.m3u8








国际|新闻

CNA Asia, https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8 # https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8 # https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8 # https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_2.m3u8 # https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_1.m3u8 # https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8 # https://stream1.freetv.fun/5d67b3e9131d07f6e7da4e6fafda09cc609ee7fefb2e14ca14cf5bd6da5e4107.m3u8
    
